"criterion","label","level","link"
"1.1.1","Non-text Content","A","https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html"
"1.2.1","Audio-only and Video-only (Prerecorded)","A","https://www.w3.org/WAI/WCAG21/Understanding/audio-only-and-video-only-prerecorded.html"
"1.2.2","Captions (Prerecorded)","A","https://www.w3.org/WAI/WCAG21/Understanding/captions-prerecorded.html"
"1.2.3","Audio Description or Media Alternative (Prerecorded)","A","https://www.w3.org/WAI/WCAG21/Understanding/audio-description-or-media-alternative-prerecorded.html"
"1.2.4","Captions (Live)","AA","https://www.w3.org/WAI/WCAG21/Understanding/captions-live.html"
"1.2.5","Audio Description (Prerecorded)","AA","https://www.w3.org/WAI/WCAG21/Understanding/audio-description-prerecorded.html"
"1.3.1","Info and Relationships","A","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html"
"1.3.2","Meaningful Sequence","A","https://www.w3.org/WAI/WCAG21/Understanding/meaningful-sequence.html"
"1.3.3","Sensory Characteristics","A","https://www.w3.org/WAI/WCAG21/Understanding/sensory-characteristics.html"
"1.3.4","Orientation","AA","https://www.w3.org/WAI/WCAG21/Understanding/orientation.html"
"1.3.5","Identify Input Purpose","AA","https://www.w3.org/WAI/WCAG21/Understanding/identify-input-purpose.html"
"1.4.1","Use of Color","A","https://www.w3.org/WAI/WCAG21/Understanding/use-of-color.html"
"1.4.2","Audio Control","A","https://www.w3.org/WAI/WCAG21/Understanding/audio-control.html"
"1.4.3","Contrast (Minimum)","AA","https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html"
"1.4.4","Resize text","AA","https://www.w3.org/WAI/WCAG21/Understanding/resize-text.html"
"1.4.5","Images of Text","AA","https://www.w3.org/WAI/WCAG21/Understanding/images-of-text.html"
"1.4.10","Reflow","AA","https://www.w3.org/WAI/WCAG21/Understanding/reflow.html"
"1.4.11","Non-text Contrast","AA","https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html"
"1.4.12","Text Spacing","AA","https://www.w3.org/WAI/WCAG21/Understanding/text-spacing.html"
"1.4.13","Content on Hover or Focus","AA","https://www.w3.org/WAI/WCAG21/Understanding/content-on-hover-or-focus.html"
"2.1.1","Keyboard","A","https://www.w3.org/WAI/WCAG21/Understanding/keyboard.html"
"2.1.2","No Keyboard Trap","A","https://www.w3.org/WAI/WCAG21/Understanding/no-keyboard-trap.html"
"2.1.4","Character Key Shortcuts","A","https://www.w3.org/WAI/WCAG21/Understanding/character-key-shortcuts.html"
"2.2.1","Timing Adjustable","A","https://www.w3.org/WAI/WCAG21/Understanding/timing-adjustable.html"
"2.2.2","Pause, Stop, Hide","A","https://www.w3.org/WAI/WCAG21/Understanding/pause-stop-hide.html"
"2.3.1","Three Flashes or Below Threshold","A","https://www.w3.org/WAI/WCAG21/Understanding/three-flashes-or-below-threshold.html"
"2.4.1","Bypass Blocks","A","https://www.w3.org/WAI/WCAG21/Understanding/bypass-blocks.html"
"2.4.2","Page Titled","A","https://www.w3.org/WAI/WCAG21/Understanding/page-titled.html"
"2.4.3","Focus Order","A","https://www.w3.org/WAI/WCAG21/Understanding/focus-order.html"
"2.4.4","Link Purpose (In Context)","A","https://www.w3.org/WAI/WCAG21/Understanding/link-purpose-in-context.html"
"2.4.5","Multiple Ways","AA","https://www.w3.org/WAI/WCAG21/Understanding/multiple-ways.html"
"2.4.6","Headings and Labels","AA","https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels.html"
"2.4.7","Focus Visible","AA","https://www.w3.org/WAI/WCAG21/Understanding/focus-visible.html"
"2.5.1","Pointer Gestures","A","https://www.w3.org/WAI/WCAG21/Understanding/pointer-gestures.html"
"2.5.2","Pointer Cancellation","A","https://www.w3.org/WAI/WCAG21/Understanding/pointer-cancellation.html"
"2.5.3","Label in Name","A","https://www.w3.org/WAI/WCAG21/Understanding/label-in-name.html"
"2.5.4","Motion Actuation","A","https://www.w3.org/WAI/WCAG21/Understanding/motion-actuation.html"
"3.1.1","Language of Page","A","https://www.w3.org/WAI/WCAG21/Understanding/language-of-page.html"
"3.1.2","Language of Parts","AA","https://www.w3.org/WAI/WCAG21/Understanding/language-of-parts.html"
"3.2.1","On Focus","A","https://www.w3.org/WAI/WCAG21/Understanding/on-focus.html"
"3.2.2","On Input","A","https://www.w3.org/WAI/WCAG21/Understanding/on-input.html"
"3.2.3","Consistent Navigation","AA","https://www.w3.org/WAI/WCAG21/Understanding/consistent-navigation.html"
"3.2.4","Consistent Identification","AA","https://www.w3.org/WAI/WCAG21/Understanding/consistent-identification.html"
"3.3.1","Error Identification","A","https://www.w3.org/WAI/WCAG21/Understanding/error-identification.html"
"3.3.2","Labels or Instructions","A","https://www.w3.org/WAI/WCAG21/Understanding/labels-or-instructions.html"
"3.3.3","Error Suggestion","AA","https://www.w3.org/WAI/WCAG21/Understanding/error-suggestion.html"
"3.3.4","Error Prevention (Legal, Financial, Data)","AA","https://www.w3.org/WAI/WCAG21/Understanding/error-prevention-legal-financial-data.html"
"4.1.1","Parsing","A","https://www.w3.org/WAI/WCAG21/Understanding/parsing.html"
"4.1.2","Name, Role, Value","A","https://www.w3.org/WAI/WCAG21/Understanding/name-role-value.html"
"4.1.3","Status Messages","AA","https://www.w3.org/WAI/WCAG21/Understanding/status-messages.html"
